Extracted Verb POS*Thai_N,Count,Main Verb POS*Thai_N,Count,Extracted Verb POS*Thai_D,Count,Main Verb POS*Thai_D,Count
เป็น,171,ใช้,10.0,เรียนรู้,2.0,ใหญ่,3.0
มี,56,ย่อ,2.0,ย่อ,27.0,รับ,7.0
จัด,31,จัดการ,5.0,ดำเนิน,4.0,ดูแล,3.0
ตั้งอยู่,28,ถือเป็น,3.0,บริการ,6.0,บริหาร,9.0
ตั้งขึ้น,14,ตามกฎหมาย,2.0,นำ,6.0,บริจาค,2.0
คือ,13,จบ,2.0,จัดการ,3.0,ดำเนิน,4.0
เปิด,13,แยก,2.0,เรียน,32.0,ใช้,12.0
สอน,13,อันเป็น,2.0,เกษตร,3.0,เน้น,4.0
รวม,11,วัด,5.0,วิจัย,14.0,สนับสนุน,2.0
ก่อตั้ง,10,ก่อตั้ง,12.0,ขยาย,5.0,ขยาย,5.0
ทำ,10,บรม,5.0,ปฏิบัติ,3.0,ประกอบ,13.0
ครอบคลุม,10,ครอบคลุม,10.0,ควบคู่,2.0,ควบคู่,2.0
วิจัย,10,สังกัด,3.0,สังกัด,3.0,อยู่,8.0
ใช้,10,,,ได้แก่,3.0,,
การสอน,10,การสอน,10.0,กลาง,2.0,กลาง,2.0
จัดตั้ง,9,จัดอันดับ,3.0,ดูแล,3.0,ติด,4.0
ศึกษา,9,สำคัญ,5.0,สำคัญ,6.0,เกษตร,3.0
เปลี่ยน,8,เรียน,3.0,เรียก,3.0,โดดเด่น,2.0
ได้รับ,8,,,,,,
ฝึกหัด,7,พัก,2.0,พระราชทาน,3.0,พัก,2.0
สร้าง,7,อยู่,4.0,อาศัย,2.0,เนื่อง,2.0
เน้น,7,เรียก,3.0,เริ่ม,2.0,แวดล้อม,2.0
ชั้นสูง,7,ดำเนินงาน,3.0,ต่าง,4.0,ถือ,2.0
พัฒนา,6,ยกฐานะ,4.0,มี,70.0,ย่อ,27.0
ประกอบด้วย,5,ปรากฏ,2.0,ปรากฏ,2.0,ผลิต,5.0
สำคัญ,5,เดิม,5.0,เดิม,5.0,เปิด,8.0
รับ,5,ศึกษา,9.0,สถาปนา,2.0,สอน,22.0
วัด,5,สอน,13.0,สอน,22.0,สูง,15.0
เดิม,5,เมือง,2.0,เมือง,3.0,แยก,4.0
ประจำ,5,ฝึกหัด,7.0,ผลิต,5.0,ฝึกอบรม,2.0
ขยาย,5,ขยาย,5.0,ควบคุม,2.0,ควบคุม,2.0
บรม,5,ประกอบ,4.0,ประกอบ,13.0,ประจำ,11.0
อยู่,4,เปิด,13.0,เปลี่ยน,8.0,เริ่ม,2.0
ยกฐานะ,4,รวม,11.0,รับ,7.0,รู้,5.0
ประกอบ,4,ประเมิน,2.0,ประเมิน,6.0,ปริญญา,2.0
สนับสนุน,4,ส่งเสริม,3.0,อยู่,6.0,เดิม,5.0
สูง,4,เน้น,7.0,เนื่อง,2.0,เป็น,200.0
เป็นสมาชิก,4,ในสังกัด,3.0,แยก,4.0,ได้แก่,3.0
ให้บริการ,4,,,,,,
พระราชทาน,4,มี,56.0,พัฒนา,7.0,มี,70.0
สังกัด,3,เจ้าพระคุณ,2.0,เฉพาะ,5.0,เปลี่ยน,8.0
ส่งเสริม,3,เปลี่ยน,8.0,เน้น,4.0,เมือง,3.0
ย้าย,3,รับรอง,2.0,ร่วมมือ,4.0,ศึกษา,61.0
รวมถึง,3,วิจัย,10.0,ศึกษา,61.0,สร้าง,6.0
ได้แก่,3,,,,,,
ผลิต,3,พระราชทาน,4.0,พระมหากรุณาธิคุณ,2.0,พร้อม,3.0
ถือเป็น,3,ทำนุบำรุง,2.0,บริหาร,5.0,ปฏิบัติการ,2.0
เรียก,3,ให้บริการ,7.0,โดดเด่น,2.0,,
ดูแล,3,ตั้ง,2.0,ทำ,6.0,นานา,2.0
เรียน,3,ได้รับ,13.0,ใช้,12.0,,
ดำเนินงาน,3,ดูแล,3.0,ถือ,2.0,ทำ,6.0
ดำเนิน,3,ดีมาก,2.0,ต้องการ,2.0,ทรง,2.0
จัดอันดับ,3,ดำเนิน,3.0,ติด,4.0,ต้องการ,2.0
จัดการ,3,จัดตั้ง,11.0,ดี,2.0,ตั้ง,35.0
ในสังกัด,3,,,,,,
บริการ,3,ประกอบด้วย,5.0,ประกาศ,3.0,ประยุกต์,2.0
อันเป็น,2,เป็น,184.0,เปิด,8.0,เรียก,3.0
เจ้าพระคุณ,2,เป็นสมาชิก,4.0,เป็น,187.0,เรียน,34.0
เมือง,2,ใหม่,2.0,แวดล้อม,2.0,,
แยก,2,ได้แก่,3.0,ใหญ่,3.0,,
ใหม่,2,,,,,,
กระจาย,2,กระจาย,2.0,กระจาย,2.0,กระจาย,2.0
สถาปนา,2,สูง,4.0,สูง,15.0,เฉพาะ,5.0
รับรอง,2,สร้าง,7.0,สร้าง,6.0,สำคัญ,6.0
ก่อ,2,ก่อ,2.0,ก่อตั้ง,22.0,ก่อตั้ง,22.0
ก่อให้เกิด,2,ก่อให้เกิด,2.0,ครอบคลุม,10.0,ครอบคลุม,10.0
ควบคุม,2,ควบคุม,2.0,คือ,13.0,จัด,19.0
ควบคู่,2,ควบคู่,2.0,จัด,19.0,จัดตั้ง,12.0
จบ,2,จัด,31.0,จัดตั้ง,10.0,ดี,2.0
จัดตั้งขึ้น,2,ชั้นสูง,7.0,ตั้ง,35.0,ต่าง,4.0
ดีมาก,2,ตอบ,2.0,ทรง,2.0,ทำนุบำรุง,2.0
ตอบ,2,ตั้งขึ้น,14.0,ทำนุบำรุง,2.0,นำ,6.0
ตั้ง,2,ตั้งอยู่,28.0,นานา,2.0,บริการ,6.0
ตามกฎหมาย,2,ทำ,10.0,บริจาค,2.0,ปฏิบัติ,3.0
ทำนุบำรุง,2,ปฏิบัติหน้าที่,2.0,ปฏิบัติการ,2.0,ประกาศ,3.0
บริหาร,2,ประกาศ,2.0,ประจำ,11.0,ประเมิน,6.0
ปฏิบัติหน้าที่,2,ประจำ,5.0,ประยุกต์,2.0,ปรากฏ,2.0
ประกาศ,2,ผลิต,3.0,ปริญญา,2.0,ฝึกหัด,7.0
ประเมิน,2,ฝึกอบรม,2.0,ฝึกหัด,7.0,พระมหากรุณาธิคุณ,2.0
ปรากฏ,2,พระมหากรุณาธิคุณ,2.0,ฝึกอบรม,2.0,พระราชทาน,3.0
ฝึกอบรม,2,พัฒนา,6.0,พร้อม,3.0,พัฒนา,7.0
พระมหากรุณาธิคุณ,2,มาจาก,2.0,พัก,2.0,พิเศษ,2.0
มาจาก,2,ยังมี,2.0,ยก,8.0,รวม,20.0
มีชื่อเสียง,2,ย้าย,3.0,รวม,20.0,รับรอง,2.0
ยังมี,2,รวมถึง,3.0,รับรอง,2.0,ร่วมมือ,4.0
ย่อ,2,รับบริจาค,2.0,รู้,5.0,วิจัย,14.0
รับบริจาค,2,สนับสนุน,4.0,สนับสนุน,2.0,สังกัด,3.0
พัก,2,มีชื่อเสียง,2.0,พิเศษ,2.0,ยก,8.0
